company,time,metric,value
AB Borlänge Energi Elnät,1/1/2019,Förbrukning per lågspänningsabonnent (kWh) (beräkning),9810.482647
AB Borlänge Energi Elnät,1/1/2020,Förbrukning per lågspänningsabonnent (kWh) (beräkning),9147.722306
AB Borlänge Energi Elnät,1/1/2021,Förbrukning per lågspänningsabonnent (kWh) (beräkning),9819.878893
AB Borlänge Energi Elnät,1/1/2022,Förbrukning per lågspänningsabonnent (kWh) (beräkning),
AB Borlänge Energi Elnät,1/1/2023,Förbrukning per lågspänningsabonnent (kWh) (beräkning),
AB Borlänge Energi Elnät,1/1/2018,Högspänningsabonnemang i uttagspunkt (antal),55
AB Borlänge Energi Elnät,1/1/2019,Högspänningsabonnemang i uttagspunkt (antal),55
AB Borlänge Energi Elnät,1/1/2020,Högspänningsabonnemang i uttagspunkt (antal),54
AB Borlänge Energi Elnät,1/1/2021,Högspänningsabonnemang i uttagspunkt (antal),56
AB Borlänge Energi Elnät,1/1/2022,Högspänningsabonnemang i uttagspunkt (antal),57
AB Borlänge Energi Elnät,1/1/2023,Högspänningsabonnemang i uttagspunkt (antal),62
AB Borlänge Energi Elnät,1/1/2022,Inmatad energi från alla elproduktions-och energilagringsanläggningar (MWh),112249
AB Borlänge Energi Elnät,1/1/2023,Inmatad energi från alla elproduktions-och energilagringsanläggningar (MWh),96304
AB Borlänge Energi Elnät,1/1/2018,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2019,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2020,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2021,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
AB Borlänge Energi Elnät,1/1/2022,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,103927
AB Borlänge Energi Elnät,1/1/2023,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,82598
AB Borlänge Energi Elnät,1/1/2022,Inmatad energi från mikroproduktionsanläggningar (MWh),3624
AB Borlänge Energi Elnät,1/1/2023,Inmatad energi från mikroproduktionsanläggningar (MWh),6681
AB Borlänge Energi Elnät,1/1/2018,Inmatad energi från småskalig elproduktionsanläggning (MWh),44910
AB Borlänge Energi Elnät,1/1/2019,Inmatad energi från småskalig elproduktionsanläggning (MWh),5764
AB Borlänge Energi Elnät,1/1/2020,Inmatad energi från småskalig elproduktionsanläggning (MWh),6163
AB Borlänge Energi Elnät,1/1/2021,Inmatad energi från småskalig elproduktionsanläggning (MWh),7934
AB Borlänge Energi Elnät,1/1/2022,Inmatad energi från småskalig elproduktionsanläggning (MWh),
AB Borlänge Energi Elnät,1/1/2023,Inmatad energi från småskalig elproduktionsanläggning (MWh),
AB Borlänge Energi Elnät,1/1/2018,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
AB Borlänge Energi Elnät,1/1/2019,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
AB Borlänge Energi Elnät,1/1/2020,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
AB Borlänge Energi Elnät,1/1/2021,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
AB Borlänge Energi Elnät,1/1/2022,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),4698
AB Borlänge Energi Elnät,1/1/2023,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),7025
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd högspänning - isolerad luftledning (km),11
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd högspänning - isolerad luftledning (km),22
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd högspänning - isolerad luftledning (km),22
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd högspänning - isolerad luftledning (km),22
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd högspänning - isolerad luftledning (km),22
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd högspänning - isolerad luftledning (km),21
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd högspänning - jordkabel (km),573
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd högspänning - jordkabel (km),656
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd högspänning - jordkabel (km),657
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd högspänning - jordkabel (km),659
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd högspänning - jordkabel (km),671
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd högspänning - jordkabel (km),669
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd högspänning - oisolerad luftledning (km),64
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd högspänning - oisolerad luftledning (km),53
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd högspänning - oisolerad luftledning (km),53
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd högspänning - oisolerad luftledning (km),46
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd högspänning - oisolerad luftledning (km),41
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd högspänning - oisolerad luftledning (km),47
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd lågspänning - isolerad luftledning (km),103
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd lågspänning - isolerad luftledning (km),92
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd lågspänning - isolerad luftledning (km),83
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd lågspänning - isolerad luftledning (km),82
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd lågspänning - isolerad luftledning (km),73
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd lågspänning - isolerad luftledning (km),63
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd lågspänning - jordkabel (km),1270
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd lågspänning - jordkabel (km),1295
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd lågspänning - jordkabel (km),1317
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd lågspänning - jordkabel (km),1328
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd lågspänning - jordkabel (km),1349
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd lågspänning - jordkabel (km),1372
AB Borlänge Energi Elnät,1/1/2018,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2019,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2020,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2021,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2022,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2023,Ledningslängd lågspänning - oisolerad luftledning (km),0
AB Borlänge Energi Elnät,1/1/2018,Lågspänningsabonnemang i uttagspunkt (antal),29456
AB Borlänge Energi Elnät,1/1/2019,Lågspänningsabonnemang i uttagspunkt (antal),29649
AB Borlänge Energi Elnät,1/1/2020,Lågspänningsabonnemang i uttagspunkt (antal),29745
AB Borlänge Energi Elnät,1/1/2021,Lågspänningsabonnemang i uttagspunkt (antal),29891
AB Borlänge Energi Elnät,1/1/2022,Lågspänningsabonnemang i uttagspunkt (antal),30096
