company,time,metric,value
Falu Elnät AB,1/1/2018,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2018,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2019,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2019,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2020,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2020,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2021,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2021,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2022,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2022,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,251989
Falu Elnät AB,1/1/2023,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,
Falu Elnät AB,1/1/2023,Inmatad energi från elproduktions- och energilagringsanläggningar exkl. småskaliga och mikroproduktionsanläggningar,222741
Falu Elnät AB,1/1/2022,Inmatad energi från mikroproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2022,Inmatad energi från mikroproduktionsanläggningar (MWh),4924
Falu Elnät AB,1/1/2023,Inmatad energi från mikroproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2023,Inmatad energi från mikroproduktionsanläggningar (MWh),9811
Falu Elnät AB,1/1/2018,Inmatad energi från småskalig elproduktionsanläggning (MWh),14187
Falu Elnät AB,1/1/2018,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2019,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2019,Inmatad energi från småskalig elproduktionsanläggning (MWh),33457
Falu Elnät AB,1/1/2020,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2020,Inmatad energi från småskalig elproduktionsanläggning (MWh),43613
Falu Elnät AB,1/1/2021,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2021,Inmatad energi från småskalig elproduktionsanläggning (MWh),48602
Falu Elnät AB,1/1/2022,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2022,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2023,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2023,Inmatad energi från småskalig elproduktionsanläggning (MWh),
Falu Elnät AB,1/1/2018,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2018,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2019,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2019,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2020,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2020,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2021,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2021,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2022,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2022,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),32079
Falu Elnät AB,1/1/2023,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),
Falu Elnät AB,1/1/2023,Inmatad energi från småskaliga elproduktionsanläggningar (MWh),54524
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - isolerad luftledning (km),186
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - isolerad luftledning (km),190
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - isolerad luftledning (km),186
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - isolerad luftledning (km),187
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - isolerad luftledning (km),188
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - isolerad luftledning (km),188
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - jordkabel (km),901
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - jordkabel (km),1001
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - jordkabel (km),1026
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - jordkabel (km),1037
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - jordkabel (km),1065
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - jordkabel (km),
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - jordkabel (km),1075
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - oisolerad luftledning (km),199
Falu Elnät AB,1/1/2018,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd högspänning - oisolerad luftledning (km),191
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2020,Ledningslängd högspänning - oisolerad luftledning (km),182
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2021,Ledningslängd högspänning - oisolerad luftledning (km),176
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2022,Ledningslängd högspänning - oisolerad luftledning (km),170
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2023,Ledningslängd högspänning - oisolerad luftledning (km),161
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - isolerad luftledning (km),439
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - isolerad luftledning (km),468
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - isolerad luftledning (km),426
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - isolerad luftledning (km),403
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - isolerad luftledning (km),399
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - isolerad luftledning (km),
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - isolerad luftledning (km),384
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - jordkabel (km),1837
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - jordkabel (km),1969
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - jordkabel (km),2035
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - jordkabel (km),2076
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - jordkabel (km),2058
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - jordkabel (km),
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - jordkabel (km),2088
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2018,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2019,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2020,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2021,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2022,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - oisolerad luftledning (km),
Falu Elnät AB,1/1/2023,Ledningslängd lågspänning - oisolerad luftledning (km),0
Falu Elnät AB,1/1/2018,Lågspänningsabonnemang i uttagspunkt (antal),32058
Falu Elnät AB,1/1/2018,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2019,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2019,Lågspänningsabonnemang i uttagspunkt (antal),33316
Falu Elnät AB,1/1/2020,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2020,Lågspänningsabonnemang i uttagspunkt (antal),33610
Falu Elnät AB,1/1/2021,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2021,Lågspänningsabonnemang i uttagspunkt (antal),33685
Falu Elnät AB,1/1/2022,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2022,Lågspänningsabonnemang i uttagspunkt (antal),34032
Falu Elnät AB,1/1/2023,Lågspänningsabonnemang i uttagspunkt (antal),
Falu Elnät AB,1/1/2023,Lågspänningsabonnemang i uttagspunkt (antal),34158
Falu Elnät AB,1/1/2018,Medellastfaktor,0.7793
Falu Elnät AB,1/1/2018,Medellastfaktor,
Falu Elnät AB,1/1/2019,Medellastfaktor,
Falu Elnät AB,1/1/2019,Medellastfaktor,0.7899
Falu Elnät AB,1/1/2020,Medellastfaktor,
Falu Elnät AB,1/1/2020,Medellastfaktor,0.6393
Falu Elnät AB,1/1/2021,Medellastfaktor,
Falu Elnät AB,1/1/2021,Medellastfaktor,0.6233
Falu Elnät AB,1/1/2022,Medellastfaktor,
Falu Elnät AB,1/1/2022,Medellastfaktor,0.6197
Falu Elnät AB,1/1/2023,Medellastfaktor,
Falu Elnät AB,1/1/2023,Medellastfaktor,0.656
Falu Elnät AB,1/1/2018,Meter ledning per nätstation (beräkning),3863.340564
Falu Elnät AB,1/1/2018,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2019,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2019,Meter ledning per nätstation (beräkning),3877.15736
Falu Elnät AB,1/1/2020,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2020,Meter ledning per nätstation (beräkning),3933.673469
Falu Elnät AB,1/1/2021,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2021,Meter ledning per nätstation (beräkning),3954.12844
Falu Elnät AB,1/1/2022,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2022,Meter ledning per nätstation (beräkning),3939.086294
Falu Elnät AB,1/1/2023,Meter ledning per nätstation (beräkning),
Falu Elnät AB,1/1/2023,Meter ledning per nätstation (beräkning),3943.319838
Falu Elnät AB,1/1/2018,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,102
Falu Elnät AB,1/1/2018,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2019,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2019,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,107
Falu Elnät AB,1/1/2020,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2020,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,107
Falu Elnät AB,1/1/2021,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2021,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,101
Falu Elnät AB,1/1/2022,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2022,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,102
Falu Elnät AB,1/1/2023,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,
Falu Elnät AB,1/1/2023,Nätets sammanlagda abonnerade effekt (MW) - överliggande och angränsande nät,102
Falu Elnät AB,1/1/2018,Nätstationer inom området (antal),922
Falu Elnät AB,1/1/2018,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2019,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2019,Nätstationer inom området (antal),985
Falu Elnät AB,1/1/2020,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2020,Nätstationer inom området (antal),980
Falu Elnät AB,1/1/2021,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2021,Nätstationer inom området (antal),981
Falu Elnät AB,1/1/2022,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2022,Nätstationer inom området (antal),985
Falu Elnät AB,1/1/2023,Nätstationer inom området (antal),
Falu Elnät AB,1/1/2023,Nätstationer inom området (antal),988
Falu Elnät AB,1/1/2018,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,108
Falu Elnät AB,1/1/2018,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2019,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2019,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,106
Falu Elnät AB,1/1/2020,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2020,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,99
Falu Elnät AB,1/1/2021,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2021,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,110.05
Falu Elnät AB,1/1/2022,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2022,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,105
Falu Elnät AB,1/1/2023,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,
Falu Elnät AB,1/1/2023,Sammanlagd maximal inmatad effekt (MW) till redovisningsenheten,108
Falu Elnät AB,1/1/2018,Total ledningslängd (meter) per abonnemang (beräkning),110.9484504
Falu Elnät AB,1/1/2018,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2019,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2019,Total ledningslängd (meter) per abonnemang (beräkning),114.4681234
Falu Elnät AB,1/1/2020,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2020,Total ledningslängd (meter) per abonnemang (beräkning),114.4800143
Falu Elnät AB,1/1/2021,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2021,Total ledningslängd (meter) per abonnemang (beräkning),114.9231179
Falu Elnät AB,1/1/2022,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2022,Total ledningslängd (meter) per abonnemang (beräkning),113.7529684
Falu Elnät AB,1/1/2023,Total ledningslängd (meter) per abonnemang (beräkning),
Falu Elnät AB,1/1/2023,Total ledningslängd (meter) per abonnemang (beräkning),113.8282642
Falu Elnät AB,1/1/2018,Total ledningslängd luftledning och jordkabel (beräkning),3562
Falu Elnät AB,1/1/2018,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2019,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2019,Total ledningslängd luftledning och jordkabel (beräkning),3819
Falu Elnät AB,1/1/2020,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2020,Total ledningslängd luftledning och jordkabel (beräkning),3855
Falu Elnät AB,1/1/2021,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2021,Total ledningslängd luftledning och jordkabel (beräkning),3879
Falu Elnät AB,1/1/2022,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2022,Total ledningslängd luftledning och jordkabel (beräkning),3880
Falu Elnät AB,1/1/2023,Total ledningslängd luftledning och jordkabel (beräkning),
Falu Elnät AB,1/1/2023,Total ledningslängd luftledning och jordkabel (beräkning),3896
Falu Elnät AB,1/1/2018,Totalsumma inmatad energi till redovisningsenheten (MWh),541478
Falu Elnät AB,1/1/2018,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2019,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2019,Totalsumma inmatad energi till redovisningsenheten (MWh),556364
Falu Elnät AB,1/1/2020,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2020,Totalsumma inmatad energi till redovisningsenheten (MWh),740798
Falu Elnät AB,1/1/2021,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2021,Totalsumma inmatad energi till redovisningsenheten (MWh),743434
Falu Elnät AB,1/1/2022,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2022,Totalsumma inmatad energi till redovisningsenheten (MWh),687834
Falu Elnät AB,1/1/2023,Totalsumma inmatad energi till redovisningsenheten (MWh),
Falu Elnät AB,1/1/2023,Totalsumma inmatad energi till redovisningsenheten (MWh),695432
Falu Elnät AB,1/1/2018,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),176
Falu Elnät AB,1/1/2018,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),
Falu Elnät AB,1/1/2019,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),
Falu Elnät AB,1/1/2019,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),279
Falu Elnät AB,1/1/2020,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),
Falu Elnät AB,1/1/2020,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),471
Falu Elnät AB,1/1/2021,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),
Falu Elnät AB,1/1/2021,Totalt antal abonnemang för inmatning från produktionsanläggning (antal),714
Falu Elnät AB,1/1/2018,Totalt antal abonnemang i uttagspunkt,32105
Falu Elnät AB,1/1/2018,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2019,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2019,Totalt antal abonnemang i uttagspunkt,33363
Falu Elnät AB,1/1/2020,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2020,Totalt antal abonnemang i uttagspunkt,33674
Falu Elnät AB,1/1/2021,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2021,Totalt antal abonnemang i uttagspunkt,33753
Falu Elnät AB,1/1/2022,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2022,Totalt antal abonnemang i uttagspunkt,34109
Falu Elnät AB,1/1/2023,Totalt antal abonnemang i uttagspunkt,
Falu Elnät AB,1/1/2023,Totalt antal abonnemang i uttagspunkt,34227
Falu Elnät AB,1/1/2018,Totalt installerad transformatoreffekt i nätstationerna (MVA),307
Falu Elnät AB,1/1/2018,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2019,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2019,Totalt installerad transformatoreffekt i nätstationerna (MVA),327
Falu Elnät AB,1/1/2020,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2020,Totalt installerad transformatoreffekt i nätstationerna (MVA),336
Falu Elnät AB,1/1/2021,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2021,Totalt installerad transformatoreffekt i nätstationerna (MVA),331
Falu Elnät AB,1/1/2022,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2022,Totalt installerad transformatoreffekt i nätstationerna (MVA),340
Falu Elnät AB,1/1/2023,Totalt installerad transformatoreffekt i nätstationerna (MVA),
Falu Elnät AB,1/1/2023,Totalt installerad transformatoreffekt i nätstationerna (MVA),333
Falu Elnät AB,1/1/2018,Under året producerad energi för att täcka nätförluster (MWh),0
Falu Elnät AB,1/1/2018,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2019,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2019,Under året producerad energi för att täcka nätförluster (MWh),29940
Falu Elnät AB,1/1/2020,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2020,Under året producerad energi för att täcka nätförluster (MWh),29234
Falu Elnät AB,1/1/2021,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2021,Under året producerad energi för att täcka nätförluster (MWh),0
Falu Elnät AB,1/1/2022,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2022,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2023,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2023,Under året producerad energi för att täcka nätförluster (MWh),
Falu Elnät AB,1/1/2018,Utmatad energi i gränspunkt (MWh),418
Falu Elnät AB,1/1/2018,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi i gränspunkt (MWh),708
Falu Elnät AB,1/1/2020,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2020,Utmatad energi i gränspunkt (MWh),180651
Falu Elnät AB,1/1/2021,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2021,Utmatad energi i gränspunkt (MWh),176402
Falu Elnät AB,1/1/2022,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2022,Utmatad energi i gränspunkt (MWh),162015
Falu Elnät AB,1/1/2023,Utmatad energi i gränspunkt (MWh),
Falu Elnät AB,1/1/2023,Utmatad energi i gränspunkt (MWh),154791
Falu Elnät AB,1/1/2018,Utmatad energi till slutkund - högspänning (MWh),101772
Falu Elnät AB,1/1/2018,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi till slutkund - högspänning (MWh),105460
Falu Elnät AB,1/1/2020,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2020,Utmatad energi till slutkund - högspänning (MWh),132247
Falu Elnät AB,1/1/2021,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2021,Utmatad energi till slutkund - högspänning (MWh),100558
Falu Elnät AB,1/1/2022,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2022,Utmatad energi till slutkund - högspänning (MWh),106016
Falu Elnät AB,1/1/2023,Utmatad energi till slutkund - högspänning (MWh),
Falu Elnät AB,1/1/2023,Utmatad energi till slutkund - högspänning (MWh),117833
Falu Elnät AB,1/1/2018,Utmatad energi till slutkund - lågspänning (MWh),413262
Falu Elnät AB,1/1/2018,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2019,Utmatad energi till slutkund - lågspänning (MWh),420964
Falu Elnät AB,1/1/2020,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2020,Utmatad energi till slutkund - lågspänning (MWh),398666
Falu Elnät AB,1/1/2021,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2021,Utmatad energi till slutkund - lågspänning (MWh),426769
Falu Elnät AB,1/1/2022,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2022,Utmatad energi till slutkund - lågspänning (MWh),395330
Falu Elnät AB,1/1/2023,Utmatad energi till slutkund - lågspänning (MWh),
Falu Elnät AB,1/1/2023,Utmatad energi till slutkund - lågspänning (MWh),396690
Falu Elnät AB,1/1/2018,Utnyttjningsgrad,
Falu Elnät AB,1/1/2018,Utnyttjningsgrad,
Falu Elnät AB,1/1/2019,Utnyttjningsgrad,
Falu Elnät AB,1/1/2019,Utnyttjningsgrad,
Falu Elnät AB,1/1/2020,Utnyttjningsgrad,
Falu Elnät AB,1/1/2020,Utnyttjningsgrad,0.3503
Falu Elnät AB,1/1/2021,Utnyttjningsgrad,
Falu Elnät AB,1/1/2021,Utnyttjningsgrad,0.2835
Falu Elnät AB,1/1/2022,Utnyttjningsgrad,
Falu Elnät AB,1/1/2022,Utnyttjningsgrad,0.2808
Falu Elnät AB,1/1/2023,Utnyttjningsgrad,
Falu Elnät AB,1/1/2023,Utnyttjningsgrad,0.3169
Falu Elnät AB,1/1/2018,Varav abonnemang för småskalig produktion högspänning (antal),9
Falu Elnät AB,1/1/2018,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2019,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2019,Varav abonnemang för småskalig produktion högspänning (antal),10
Falu Elnät AB,1/1/2020,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2020,Varav abonnemang för småskalig produktion högspänning (antal),15
Falu Elnät AB,1/1/2021,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2021,Varav abonnemang för småskalig produktion högspänning (antal),15
Falu Elnät AB,1/1/2022,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2022,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2023,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2023,Varav abonnemang för småskalig produktion högspänning (antal),
Falu Elnät AB,1/1/2018,Varav abonnemang för småskalig produktion lågspänning (antal),151
Falu Elnät AB,1/1/2018,Varav abonnemang för småskalig produktion lågspänning (antal),
Falu Elnät AB,1/1/2019,Varav abonnemang för småskalig produktion lågspänning (antal),
